rmse1,rmse2,rmse3,rmse4,rmse5,rmse6,rmse7
3.2190776837290884,1.976005120084141,1.964741617904242,1.943309506745084,2.0089886716188667,1.9687126342863668,2.002450176269635
3.2181814034772334,1.5972574794939427,1.6242170486743868,1.9957263212009704,1.6452166802474844,1.6349568092774502,1.6179033330905739
3.216611717344716,1.462750786114886,1.4710460848169828,1.9681401282462112,1.4185397671267217,1.4549864339428642,1.4150391530513335
3.216189284665354,1.3399593296881098,1.3822379375144729,1.5971644928695157,1.3249684067053111,1.3411417423702623,1.3162703105359288
3.2155803079263965,1.2783006398379584,1.3559645844068484,1.6246692211352334,1.2443653518302098,1.2676570900006203,1.2664275188394645
3.215259794378956,1.231364458499963,1.288470775876769,1.6247086049836326,1.2175810313674242,1.249883750646665,1.225882121227229
3.215365229946759,1.22346758761611,1.2660150489402129,1.4702301997014446,1.1608141984738465,1.2283117820485845,1.1938309030352672
3.2164388312558936,1.259489764114092,1.3179085517253122,1.4320608591352562,1.1696515428089709,1.216571806636367,1.1723165713575763
3.21574749131929,1.2993979316042483,1.3362044588449271,1.4497943042276975,1.1439236037471872,1.2764004322745173,1.1576057029808577
3.215723739483833,1.3323002403342494,1.3923543570943504,1.3237344180049857,1.1585289412008362,1.3447885520478986,1.1446698571587723
3.215889826203359,1.362792630938542,1.475947887741152,1.3367127147132996,1.1382656327368814,1.4417056973467697,1.16146078868227
3.2162946939482278,1.4447259772173908,1.519896935803565,1.4589539364273865,1.1400295599951464,1.529808383593084,1.1615930889716053
